location_set_version_id,location_set_id,location_id,parent_id,path_to_top_parent,level,is_estimate,most_detailed,sort_order,location_name,location_ascii_name,location_name_short,location_name_medium,location_type_id,location_type,map_id,super_region_id,super_region_name,region_id,region_name,ihme_loc_id,local_id,developed,start_date,end_date,date_inserted,last_updated,last_updated_by,last_updated_action
1020,111,50,42,"1,31,42,50",3,0,1,20.0,Montenegro,Montenegro,Montenegro,Montenegro,2,admin0,,31.0,"Central Europe, Eastern Europe, and Central Asia",42.0,Central Europe,MNE,MNE,1,2022-03-02 13:13:22,,2022-03-02 13:13:22,2022-03-02 13:13:22,bhuntley,INSERT
1020,111,49,42,"1,31,42,49",3,0,1,21.0,North Macedonia,North Macedonia,North Macedonia,North Macedonia,2,admin0,,31.0,"Central Europe, Eastern Europe, and Central Asia",42.0,Central Europe,MKD,MKD,1,2022-03-02 13:13:22,,2022-03-02 13:13:22,2022-03-02 13:13:22,bhuntley,INSERT
1020,111,51,42,"1,31,42,51",3,0,1,22.0,Poland,Poland,Poland,Poland,2,admin0,,31.0,"Central Europe, Eastern Europe, and Central Asia",42.0,Central Europe,POL,POL,1,2022-03-02 13:13:22,,2022-03-02 13:13:22,2022-03-02 13:13:22,bhuntley,INSERT
1020,111,52,42,"1,31,42,52",3,0,1,23.0,Romania,Romania,Romania,Romania,2,admin0,,31.0,"Central Europe, Eastern Europe, and Central Asia",42.0,Central Europe,ROU,ROU,1,2022-03-02 13:13:22,,2022-03-02 13:13:22,2022-03-02 13:13:22,bhuntley,INSERT
1020,111,53,42,"1,31,42,53",3,0,1,24.0,Serbia,Serbia,Serbia,Serbia,2,admin0,,31.0,"Central Europe, Eastern Europe, and Central Asia",42.0,Central Europe,SRB,SRB,1,2022-03-02 13:13:22,,2022-03-02 13:13:22,2022-03-02 13:13:22,bhuntley,INSERT
1020,111,54,42,"1,31,42,54",3,0,1,25.0,Slovakia,Slovakia,Slovakia,Slovakia,2,admin0,,31.0,"Central Europe, Eastern Europe, and Central Asia",42.0,Central Europe,SVK,SVK,1,2022-03-02 13:13:22,,2022-03-02 13:13:22,2022-03-02 13:13:22,bhuntley,INSERT
1020,111,55,42,"1,31,42,55",3,0,1,26.0,Slovenia,Slovenia,Slovenia,Slovenia,2,admin0,,31.0,"Central Europe, Eastern Europe, and Central Asia",42.0,Central Europe,SVN,SVN,1,2022-03-02 13:13:22,,2022-03-02 13:13:22,2022-03-02 13:13:22,bhuntley,INSERT
1020,111,56,31,"1,31,56",2,0,0,27.0,Eastern Europe,Eastern Europe,E Europe,Eastern Europe,6,region,,31.0,"Central Europe, Eastern Europe, and Central Asia",56.0,Eastern Europe,R9,R9,1,2022-03-02 13:13:22,,2022-03-02 13:13:22,2022-03-02 13:13:22,bhuntley,INSERT
1020,111,57,56,"1,31,56,57",3,0,1,28.0,Belarus,Belarus,Belarus,Belarus,2,admin0,,31.0,"Central Europe, Eastern Europe, and Central Asia",56.0,Eastern Europe,BLR,BLR,1,2022-03-02 13:13:22,,2022-03-02 13:13:22,2022-03-02 13:13:22,bhuntley,INSERT
1020,111,58,56,"1,31,56,58",3,0,1,29.0,Estonia,Estonia,Estonia,Estonia,2,admin0,,31.0,"Central Europe, Eastern Europe, and Central Asia",56.0,Eastern Europe,EST,EST,1,2022-03-02 13:13:22,,2022-03-02 13:13:22,2022-03-02 13:13:22,bhuntley,INSERT
1020,111,59,56,"1,31,56,59",3,0,1,30.0,Latvia,Latvia,Latvia,Latvia,2,admin0,,31.0,"Central Europe, Eastern Europe, and Central Asia",56.0,Eastern Europe,LVA,LVA,1,2022-03-02 13:13:22,,2022-03-02 13:13:22,2022-03-02 13:13:22,bhuntley,INSERT
1020,111,60,56,"1,31,56,60",3,0,1,31.0,Lithuania,Lithuania,Lithuania,Lithuania,2,admin0,,31.0,"Central Europe, Eastern Europe, and Central Asia",56.0,Eastern Europe,LTU,LTU,1,2022-03-02 13:13:22,,2022-03-02 13:13:22,2022-03-02 13:13:22,bhuntley,INSERT
1020,111,61,56,"1,31,56,61",3,0,1,32.0,Republic of Moldova,Republic of Moldova,Moldova,Republic of Moldova,2,admin0,,31.0,"Central Europe, Eastern Europe, and Central Asia",56.0,Eastern Europe,MDA,MDA,1,2022-03-02 13:13:22,,2022-03-02 13:13:22,2022-03-02 13:13:22,bhuntley,INSERT
1020,111,62,56,"1,31,56,62",3,0,1,33.0,Russian Federation,Russian Federation,Russia,Russian Federation,2,admin0,,31.0,"Central Europe, Eastern Europe, and Central Asia",56.0,Eastern Europe,RUS,RUS,1,2022-03-02 13:13:22,,2022-03-02 13:13:22,2022-03-02 13:13:22,bhuntley,INSERT
1020,111,63,56,"1,31,56,63",3,0,1,34.0,Ukraine,Ukraine,Ukraine,Ukraine,2,admin0,,31.0,"Central Europe, Eastern Europe, and Central Asia",56.0,Eastern Europe,UKR,UKR,1,2022-03-02 13:13:22,,2022-03-02 13:13:22,2022-03-02 13:13:22,bhuntley,INSERT
1020,111,64,1,"1,64",1,0,0,35.0,High-income,High-income,HI,High-income,7,superregion,,64.0,High-income,,,S1,S1,,2022-03-02 13:13:22,,2022-03-02 13:13:22,2022-03-02 13:13:22,bhuntley,INSERT
1020,111,70,64,"1,64,70",2,0,0,36.0,Australasia,Australasia,Australasia,Australasia,6,region,,64.0,High-income,70.0,Australasia,R6,R6,1,2022-03-02 13:13:22,,2022-03-02 13:13:22,2022-03-02 13:13:22,bhuntley,INSERT
1020,111,71,70,"1,64,70,71",3,1,1,37.0,Australia,Australia,Australia,Australia,2,admin0,,64.0,High-income,70.0,Australasia,AUS,AUS,1,2022-03-02 13:13:22,,2022-03-02 13:13:22,2022-03-02 13:13:22,bhuntley,INSERT
1020,111,72,70,"1,64,70,72",3,0,1,38.0,New Zealand,New Zealand,New Zealand,New Zealand,2,admin0,,64.0,High-income,70.0,Australasia,NZL,NZL,1,2022-03-02 13:13:22,,2022-03-02 13:13:22,2022-03-02 13:13:22,bhuntley,INSERT
1020,111,65,64,"1,64,65",2,0,0,39.0,High-income Asia Pacific,High-income Asia Pacific,HI Asia Pac,High-income Asia Pacific,6,region,,64.0,High-income,65.0,High-income Asia Pacific,R1,R1,1,2022-03-02 13:13:22,,2022-03-02 13:13:22,2022-03-02 13:13:22,bhuntley,INSERT
