location_set_version_id,location_set_id,location_id,parent_id,path_to_top_parent,level,is_estimate,most_detailed,sort_order,location_name,location_ascii_name,location_name_short,location_name_medium,location_type_id,location_type,map_id,super_region_id,super_region_name,region_id,region_name,ihme_loc_id,local_id,developed,start_date,end_date,date_inserted,last_updated,last_updated_by,last_updated_action
986,120,2350,553,"102,553,2350",2,0,1,171.0,Morris County,Morris County,Morris,Morris County,4,admin2,,,,,,USA_2350,34027,1,2021-12-14 11:42:45,,2021-12-14 11:42:45,2021-12-14 11:42:45,cheth,INSERT
986,120,2347,553,"102,553,2347",2,0,1,172.0,Passaic County,Passaic County,Passaic,Passaic County,4,admin2,,,,,,USA_2347,34031,1,2021-12-14 11:42:45,,2021-12-14 11:42:45,2021-12-14 11:42:45,cheth,INSERT
986,120,2354,553,"102,553,2354",2,0,1,173.0,Somerset County,Somerset County,Somerset,Somerset County,4,admin2,,,,,,USA_2354,34035,1,2021-12-14 11:42:45,,2021-12-14 11:42:45,2021-12-14 11:42:45,cheth,INSERT
986,120,554,102,"102,554",1,0,0,174.0,New Mexico,New Mexico,New Mexico,New Mexico,3,admin1,,,,,,USA_554,US-NM,1,2021-12-14 11:42:45,,2021-12-14 11:42:45,2021-12-14 11:42:45,cheth,INSERT
986,120,2381,554,"102,554,2381",2,0,1,175.0,Bernalillo County,Bernalillo County,Bernalillo,Bernalillo County,4,admin2,,,,,,USA_2381,35001,1,2021-12-14 11:42:45,,2021-12-14 11:42:45,2021-12-14 11:42:45,cheth,INSERT
986,120,555,102,"102,555",1,0,0,176.0,New York,New York,New York,New York,3,admin1,,,,,,USA_555,US-NY,1,2021-12-14 11:42:45,,2021-12-14 11:42:45,2021-12-14 11:42:45,cheth,INSERT
986,120,60410,555,"102,555,60410",2,0,1,177.0,New York Metropolitan Area,New York Metropolitan Area,NY Metro Area,New York Metropolitan Area,3,covid-19,,,,,,USA_60410,,,2021-12-14 11:42:45,,2021-12-14 11:42:45,2021-12-14 11:42:45,cheth,INSERT
986,120,2444,555,"102,555,2444",2,0,1,178.0,Genesee County,Genesee County,Genesee,Genesee County,4,admin2,,,,,,USA_2444,36037,1,2021-12-14 11:42:45,,2021-12-14 11:42:45,2021-12-14 11:42:45,cheth,INSERT
986,120,2440,555,"102,555,2440",2,0,1,179.0,Monroe County,Monroe County,Monroe,Monroe County,4,admin2,,,,,,USA_2440,36055,1,2021-12-14 11:42:45,,2021-12-14 11:42:45,2021-12-14 11:42:45,cheth,INSERT
986,120,2406,555,"102,555,2406",2,0,1,180.0,Warren County,Warren County,Warren,Warren County,4,admin2,,,,,,USA_2406,36113,1,2021-12-14 11:42:45,,2021-12-14 11:42:45,2021-12-14 11:42:45,cheth,INSERT
986,120,2423,555,"102,555,2423",2,0,1,181.0,Westchester County,Westchester County,Westchester,Westchester County,4,admin2,,,,,,USA_2423,36119,1,2021-12-14 11:42:45,,2021-12-14 11:42:45,2021-12-14 11:42:45,cheth,INSERT
986,120,556,102,"102,556",1,0,0,182.0,North Carolina,North Carolina,N Carolina,North Carolina,3,admin1,,,,,,USA_556,US-NC,1,2021-12-14 11:42:45,,2021-12-14 11:42:45,2021-12-14 11:42:45,cheth,INSERT
986,120,2488,556,"102,556,2488",2,0,1,183.0,Alamance County,Alamance County,Alamance,Alamance County,4,admin2,,,,,,USA_2488,37001,1,2021-12-14 11:42:45,,2021-12-14 11:42:45,2021-12-14 11:42:45,cheth,INSERT
986,120,2491,556,"102,556,2491",2,0,1,184.0,Durham County,Durham County,Durham,Durham County,4,admin2,,,,,,USA_2491,37063,1,2021-12-14 11:42:45,,2021-12-14 11:42:45,2021-12-14 11:42:45,cheth,INSERT
986,120,2515,556,"102,556,2515",2,0,1,185.0,Johnston County,Johnston County,Johnston,Johnston County,4,admin2,,,,,,USA_2515,37101,1,2021-12-14 11:42:45,,2021-12-14 11:42:45,2021-12-14 11:42:45,cheth,INSERT
986,120,2475,556,"102,556,2475",2,0,1,186.0,Person County,Person County,Person,Person County,4,admin2,,,,,,USA_2475,37145,1,2021-12-14 11:42:45,,2021-12-14 11:42:45,2021-12-14 11:42:45,cheth,INSERT
986,120,2555,556,"102,556,2555",2,0,1,187.0,Robeson County,Robeson County,Robeson,Robeson County,4,admin2,,,,,,USA_2555,37155,1,2021-12-14 11:42:45,,2021-12-14 11:42:45,2021-12-14 11:42:45,cheth,INSERT
986,120,2532,556,"102,556,2532",2,0,1,188.0,Stanly County,Stanly County,Stanly,Stanly County,4,admin2,,,,,,USA_2532,37167,1,2021-12-14 11:42:45,,2021-12-14 11:42:45,2021-12-14 11:42:45,cheth,INSERT
986,120,2476,556,"102,556,2476",2,0,1,189.0,Vance County,Vance County,Vance,Vance County,4,admin2,,,,,,USA_2476,37181,1,2021-12-14 11:42:45,,2021-12-14 11:42:45,2021-12-14 11:42:45,cheth,INSERT
986,120,2470,556,"102,556,2470",2,0,1,190.0,Warren County,Warren County,Warren,Warren County,4,admin2,,,,,,USA_2470,37185,1,2021-12-14 11:42:45,,2021-12-14 11:42:45,2021-12-14 11:42:45,cheth,INSERT
986,120,557,102,"102,557",1,0,0,191.0,North Dakota,North Dakota,N Dakota,North Dakota,3,admin1,,,,,,USA_557,US-ND,1,2021-12-14 11:42:45,,2021-12-14 11:42:45,2021-12-14 11:42:45,cheth,INSERT
986,120,2598,557,"102,557,2598",2,0,1,192.0,Cass County,Cass County,Cass,Cass County,4,admin2,,,,,,USA_2598,38017,1,2021-12-14 11:42:45,,2021-12-14 11:42:45,2021-12-14 11:42:45,cheth,INSERT
986,120,558,102,"102,558",1,0,0,193.0,Ohio,Ohio,Ohio,Ohio,3,admin1,,,,,,USA_558,US-OH,1,2021-12-14 11:42:45,,2021-12-14 11:42:45,2021-12-14 11:42:45,cheth,INSERT
986,120,2619,558,"102,558,2619",2,0,1,194.0,Cuyahoga County,Cuyahoga County,Cuyahoga,Cuyahoga County,4,admin2,,,,,,USA_2619,39035,1,2021-12-14 11:42:45,,2021-12-14 11:42:45,2021-12-14 11:42:45,cheth,INSERT
986,120,2669,558,"102,558,2669",2,0,1,195.0,Franklin County,Franklin County,Franklin,Franklin County,4,admin2,,,,,,USA_2669,39049,1,2021-12-14 11:42:45,,2021-12-14 11:42:45,2021-12-14 11:42:45,cheth,INSERT
986,120,2617,558,"102,558,2617",2,0,1,196.0,Geauga County,Geauga County,Geauga,Geauga County,4,admin2,,,,,,USA_2617,39055,1,2021-12-14 11:42:45,,2021-12-14 11:42:45,2021-12-14 11:42:45,cheth,INSERT
986,120,2691,558,"102,558,2691",2,0,1,197.0,Hamilton County,Hamilton County,Hamilton,Hamilton County,4,admin2,,,,,,USA_2691,39061,1,2021-12-14 11:42:45,,2021-12-14 11:42:45,2021-12-14 11:42:45,cheth,INSERT
