location_id,location_set_version_id,location_set_id,parent_id,path_to_top_parent,level,is_estimate,most_detailed,sort_order,location_name,location_ascii_name,location_name_short,location_name_medium,location_type_id,location_type,map_id,super_region_id,super_region_name,region_id,region_name,ihme_loc_id,local_id,developed,start_date,end_date,date_inserted,last_updated,last_updated_by,last_updated_action,lancet_label,who_label
305,1020.0,111.0,104.0,"1,103,104,305",3.0,1.0,1.0,18,Bermuda,Bermuda,Bermuda,Bermuda,8.0,nonsovereign,,103.0,Latin America and Caribbean,104.0,Caribbean,BMU,BMU,0,2022-03-02 13:13:22,,2022-03-02 13:13:22,2022-03-02 13:13:22,bhuntley,INSERT,,
385,1020.0,111.0,104.0,"1,103,104,385",3.0,1.0,1.0,19,Puerto Rico,Puerto Rico,Puerto Rico,Puerto Rico,8.0,nonsovereign,,103.0,Latin America and Caribbean,104.0,Caribbean,PRI,PRI,1,2022-03-02 13:13:22,,2022-03-02 13:13:22,2022-03-02 13:13:22,bhuntley,INSERT,,
393,1020.0,111.0,104.0,"1,103,104,393",3.0,1.0,1.0,20,Saint Kitts and Nevis,Saint Kitts and Nevis,St. Kitts and Nevis,Saint Kitts and Nevis,2.0,admin0,,103.0,Latin America and Caribbean,104.0,Caribbean,KNA,KNA,0,2022-03-02 13:13:22,,2022-03-02 13:13:22,2022-03-02 13:13:22,bhuntley,INSERT,,
422,1020.0,111.0,104.0,"1,103,104,422",3.0,1.0,1.0,21,United States Virgin Islands,United States Virgin Islands,Virgin Isl US,United States Virgin Islands,8.0,nonsovereign,,103.0,Latin America and Caribbean,104.0,Caribbean,VIR,VIR,0,2022-03-02 13:13:22,,2022-03-02 13:13:22,2022-03-02 13:13:22,bhuntley,INSERT,,
120,1020.0,111.0,103.0,"1,103,120",2.0,0.0,0.0,22,Andean Latin America,Andean Latin America,Andean Latin Am,Andean Latin America,6.0,region,,103.0,Latin America and Caribbean,120.0,Andean Latin America,R11,R11,0,2022-03-02 13:13:22,,2022-03-02 13:13:22,2022-03-02 13:13:22,bhuntley,INSERT,,
121,1020.0,111.0,120.0,"1,103,120,121",3.0,1.0,1.0,23,Bolivia (Plurinational State of),Bolivia (Plurinational State of),Bolivia,Bolivia (Plurinational State of),2.0,admin0,,103.0,Latin America and Caribbean,120.0,Andean Latin America,BOL,BOL,0,2022-03-02 13:13:22,,2022-03-02 13:13:22,2022-03-02 13:13:22,bhuntley,INSERT,,
122,1020.0,111.0,120.0,"1,103,120,122",3.0,1.0,1.0,24,Ecuador,Ecuador,Ecuador,Ecuador,2.0,admin0,,103.0,Latin America and Caribbean,120.0,Andean Latin America,ECU,ECU,0,2022-03-02 13:13:22,,2022-03-02 13:13:22,2022-03-02 13:13:22,bhuntley,INSERT,,
123,1020.0,111.0,120.0,"1,103,120,123",3.0,1.0,1.0,25,Peru,Peru,Peru,Peru,2.0,admin0,,103.0,Latin America and Caribbean,120.0,Andean Latin America,PER,PER,0,2022-03-02 13:13:22,,2022-03-02 13:13:22,2022-03-02 13:13:22,bhuntley,INSERT,,
124,1020.0,111.0,103.0,"1,103,124",2.0,0.0,0.0,26,Central Latin America,Central Latin America,Central Latin Am,Central Latin America,6.0,region,,103.0,Latin America and Caribbean,124.0,Central Latin America,R12,R12,0,2022-03-02 13:13:22,,2022-03-02 13:13:22,2022-03-02 13:13:22,bhuntley,INSERT,,
125,1020.0,111.0,124.0,"1,103,124,125",3.0,1.0,1.0,27,Colombia,Colombia,Colombia,Colombia,2.0,admin0,,103.0,Latin America and Caribbean,124.0,Central Latin America,COL,COL,0,2022-03-02 13:13:22,,2022-03-02 13:13:22,2022-03-02 13:13:22,bhuntley,INSERT,,
